title,artist,image,peakPos,lastPos,weeks,rank,isNew,date
Stay,The Kid LAROI & Justin Bieber,,1,1,5,1,False,2021-08-21
Good 4 U,Olivia Rodrigo,,1,2,13,2,False,2021-08-21
Bad Habits,Ed Sheeran,,3,5,7,3,False,2021-08-21
Kiss Me More,Doja Cat Featuring SZA,,3,6,18,4,False,2021-08-21
Levitating,Dua Lipa,,2,3,45,5,False,2021-08-21
Take My Breath,The Weeknd,,6,0,1,6,True,2021-08-21
Butter,BTS,,1,4,12,7,False,2021-08-21
Industry Baby,Lil Nas X & Jack Harlow,,2,7,3,8,False,2021-08-21
Montero (Call Me By Your Name),Lil Nas X,,1,8,20,9,False,2021-08-21
Deja Vu,Olivia Rodrigo,,3,9,19,10,False,2021-08-21
Save Your Tears,The Weeknd & Ariana Grande,,1,10,35,11,False,2021-08-21
Peaches,Justin Bieber Featuring Daniel Caesar & Giveon,,1,13,21,12,False,2021-08-21
Happier Than Ever,Billie Eilish,,11,11,2,13,False,2021-08-21
Leave The Door Open,Silk Sonic (Bruno Mars & Anderson .Paak),,1,12,23,14,False,2021-08-21
Fancy Like,Walker Hayes,,14,15,8,15,False,2021-08-21
You Right,Doja Cat & The Weeknd,,11,18,7,16,False,2021-08-21
Heartbreak Anniversary,Giveon,,16,17,26,17,False,2021-08-21
Blinding Lights,The Weeknd,,1,16,88,18,False,2021-08-21
Leave Before You Love Me,Marshmello X Jonas Brothers,,19,20,12,19,False,2021-08-21
Need To Know,Doja Cat,,20,32,9,20,False,2021-08-21
Glad You Exist,Dan + Shay,,21,25,27,21,False,2021-08-21
Volvi,Aventura x Bad Bunny,,22,37,2,22,False,2021-08-21
Every Chance I Get,DJ Khaled Featuring Lil Baby & Lil Durk,,20,21,15,23,False,2021-08-21
Forever After All,Luke Combs,,2,23,42,24,False,2021-08-21
Rapstar,Polo G,,1,19,18,25,False,2021-08-21
Late At Night,Roddy Ricch,,20,29,10,26,False,2021-08-21
Lil Bit,Nelly & Florida Georgia Line,,23,26,21,27,False,2021-08-21
Without You,The Kid LAROI,,8,22,36,28,False,2021-08-21
Thot Shit,Megan Thee Stallion,,16,30,9,29,False,2021-08-21
Astronaut In The Ocean,Masked Wolf,,6,28,26,30,False,2021-08-21
Heat Waves,Glass Animals,,19,31,30,31,False,2021-08-21
Famous Friends,Chris Young + Kane Brown,,21,36,20,32,False,2021-08-21
Traitor,Olivia Rodrigo,,9,49,12,33,False,2021-08-21
Waves,Luke Bryan,,34,35,8,34,False,2021-08-21
Skate,Silk Sonic (Bruno Mars & Anderson .Paak),,14,14,2,35,False,2021-08-21
Beautiful Mistakes,Maroon 5 Featuring Megan Thee Stallion,,13,34,23,36,False,2021-08-21
Telepatia,Kali Uchis,,25,33,25,37,False,2021-08-21
Drinkin' Beer. Talkin' God. Amen.,Chase Rice Featuring Florida Georgia Line,,24,24,11,38,False,2021-08-21
Things A Man Oughta Know,Lainey Wilson,,39,45,13,39,False,2021-08-21
Wockesha,Moneybagg Yo,,33,42,16,40,False,2021-08-21
Arcade,Duncan Laurence,,41,50,18,41,False,2021-08-21
My Ex's Best Friend,Machine Gun Kelly X blackbear,,20,47,52,42,False,2021-08-21
Country Again,Thomas Rhett,,43,51,15,43,False,2021-08-21
Essence,Wizkid Featuring Justin Bieber & Tems,,44,54,6,44,False,2021-08-21
Whole Lotta Money,BIA Featuring Nicki Minaj,,16,43,5,45,False,2021-08-21
Single Saturday Night,Cole Swindell,,26,40,15,46,False,2021-08-21
Ain't Shit,Doja Cat,,24,41,7,47,False,2021-08-21
Motley Crew,Post Malone,,13,39,5,48,False,2021-08-21
Chasing After You,Ryan Hurd With Maren Morris,,46,46,15,49,False,2021-08-21
Beggin',Maneskin,,35,44,7,50,False,2021-08-21
If I Didn't Love You,Jason Aldean & Carrie Underwood,,15,52,3,51,False,2021-08-21
Pepas,Farruko,,52,66,3,52,False,2021-08-21
2055,Sleepy Hallow,,53,53,4,53,False,2021-08-21
Cold Beer Calling My Name,Jameson Rodgers Featuring Luke Combs,,54,79,6,54,False,2021-08-21
Permission To Dance,BTS,,1,27,5,55,False,2021-08-21
Yonaguni,Bad Bunny,,10,55,10,56,False,2021-08-21
Todo de Ti,Rauw Alejandro,,32,56,11,57,False,2021-08-21
We Didn't Have Much,Justin Moore,,58,60,8,58,False,2021-08-21
Drunk (And I Don't Wanna Go Home),Elle King & Miranda Lambert,,53,58,16,59,False,2021-08-21
Wild Side,Normani Featuring Cardi B,,14,61,4,60,False,2021-08-21
You,Regard x Troye Sivan x Tate McRae,,58,62,9,61,False,2021-08-21
A-O-K,Tai Verdes,,62,67,6,62,False,2021-08-21
Love Again,Dua Lipa,,63,65,4,63,False,2021-08-21
Memory,Kane Brown X blackbear,,50,68,5,64,False,2021-08-21
I Was On A Boat That Day,Old Dominion,,64,64,6,65,False,2021-08-21
Don't Go Yet,Camila Cabello,,42,63,3,66,False,2021-08-21
SUVs (Black On Black),Jack Harlow & Pooh Shiesty,,67,0,1,67,True,2021-08-21
Tombstone,Rod Wave,,11,71,20,68,False,2021-08-21
You Should Probably Leave,Chris Stapleton,,69,89,6,69,False,2021-08-21
My Boy,Elvie Shane,,70,83,7,70,False,2021-08-21
Come Through,H.E.R. Featuring Chris Brown,,64,82,10,71,False,2021-08-21
Straightenin,Migos,,23,76,13,72,False,2021-08-21
my.life,"J. Cole, 21 Savage & Morray",,2,74,13,73,False,2021-08-21
Memory I Don't Mess With,Lee Brice,,74,88,3,74,False,2021-08-21
Blame It On You,Jason Aldean,,30,75,16,75,False,2021-08-21
Cold As You,Luke Combs,,76,0,2,76,False,2021-08-21
NDA,Billie Eilish,,39,59,5,77,False,2021-08-21
Gyalis,Capella Grey,,78,95,2,78,False,2021-08-21
EPMD 2,Nas Featuring Eminem & EPMD,,79,0,1,79,True,2021-08-21
Repeat It,Lil Tecca & Gunna,,80,0,1,80,True,2021-08-21
You Time,Scotty McCreery,,81,96,2,81,False,2021-08-21
Buy Dirt,Jordan Davis Featuring Luke Bryan,,82,0,1,82,True,2021-08-21
AM,Nio Garcia X J Balvin X Bad Bunny,,41,85,7,83,False,2021-08-21
Woman,Doja Cat,,84,0,2,84,False,2021-08-21
Over The Top,Smiley Featuring Drake,,57,78,3,85,False,2021-08-21
Lose,KSI x Lil Wayne,,86,0,1,86,True,2021-08-21
Hats Off,"Lil Baby, Lil Durk & Travis Scott",,16,94,10,87,False,2021-08-21
I Hope Ur Miserable Until Ur Dead,Nessa Barrett,,88,0,1,88,True,2021-08-21
Favorite Crime,Olivia Rodrigo,,16,86,12,89,False,2021-08-21
Baddest,"Yung Bleu, Chris Brown & 2 Chainz",,87,87,2,90,False,2021-08-21
Ball If I Want To,DaBaby,,39,73,8,91,False,2021-08-21
Not Sober,The Kid LAROI Featuring Polo G & Stunna Gambino,,41,77,3,92,False,2021-08-21
Knowing You,Kenny Chesney,,93,0,1,93,True,2021-08-21
WUSYANAME,"Tyler, The Creator Featuring YoungBoy Never Broke Again & Ty Dolla $ign",,14,0,6,94,False,2021-08-21
Outside,MO3 X OG Bobby Billions,,92,98,6,95,False,2021-08-21
Next Girl,Carly Pearce,,86,0,3,96,False,2021-08-21
Happier,Olivia Rodrigo,,15,93,12,97,False,2021-08-21
Twerkulator,City Girls,,51,0,9,98,False,2021-08-21
Fiel,"Los Legendarios, Wisin & Jhay Cortez",,62,97,9,99,False,2021-08-21
Rare,Nas,,100,0,1,100,True,2021-08-21
